rank: 0; group_size: 1
541830 357492 -3.07483e+10 1.45942e+11 
544599 360905 -3.16698e+10 1.45746e+11 
547364 364335 -3.25901e+10 1.45544e+11 
550125 367783 -3.35091e+10 1.45336e+11 
552882 371248 -3.44267e+10 1.45122e+11 
555635 374731 -3.5343e+10 1.44902e+11 
558384 378231 -3.62579e+10 1.44677e+11 
561128 381748 -3.71713e+10 1.44446e+11 
563868 385282 -3.80832e+10 1.44209e+11 
566604 388834 -3.89937e+10 1.43966e+11 
569334 392403 -3.99025e+10 1.43718e+11 
572060 395989 -4.08098e+10 1.43464e+11 
574781 399592 -4.17155e+10 1.43204e+11 
577498 403212 -4.26195e+10 1.42938e+11 
580209 406850 -4.35218e+10 1.42667e+11 
582914 410504 -4.44224e+10 1.4239e+11 
585615 414176 -4.53212e+10 1.42108e+11 
588310 417864 -4.62182e+10 1.41819e+11 
591000 421570 -4.71134e+10 1.41526e+11 
593684 425292 -4.80067e+10 1.41226e+11 
596362 429031 -4.88981e+10 1.40921e+11 
599034 432787 -4.97876e+10 1.4061e+11 
601701 436560 -5.0675e+10 1.40294e+11 
604361 440350 -5.15605e+10 1.39972e+11 
607015 444156 -5.24439e+10 1.39645e+11 
609663 447979 -5.33252e+10 1.39312e+11 
612305 451819 -5.42044e+10 1.38973e+11 
614940 455675 -5.50814e+10 1.38629e+11 
617568 459548 -5.59563e+10 1.3828e+11 
620190 463437 -5.68289e+10 1.37925e+11 
622805 467343 -5.76992e+10 1.37564e+11 
625413 471265 -5.85673e+10 1.37198e+11 
628014 475204 -5.9433e+10 1.36827e+11 
630608 479159 -6.02964e+10 1.3645e+11 
633195 483130 -6.11574e+10 1.36068e+11 
635775 487118 -6.20159e+10 1.3568e+11 
638347 491122 -6.2872e+10 1.35287e+11 
640911 495142 -6.37256e+10 1.34888e+11 
643468 499178 -6.45766e+10 1.34484e+11 
646018 503230 -6.54251e+10 1.34075e+11 
648559 507298 -6.6271e+10 1.33661e+11 
651093 511382 -6.71142e+10 1.33241e+11 
653618 515482 -6.79548e+10 1.32816e+11 
656135 519598 -6.87927e+10 1.32385e+11 
658645 523730 -6.96278e+10 1.31949e+11 
661146 527877 -7.04602e+10 1.31508e+11 
663638 532040 -7.12897e+10 1.31062e+11 
666122 536219 -7.21165e+10 1.30611e+11 
668597 540414 -7.29403e+10 1.30154e+11 
671064 544624 -7.37613e+10 1.29693e+11 
673522 548849 -7.45793e+10 1.29226e+11 
675971 553090 -7.53944e+10 1.28754e+11 
678410 557346 -7.62065e+10 1.28276e+11 
680841 561618 -7.70155e+10 1.27794e+11 
683263 565905 -7.78215e+10 1.27307e+11 
685675 570207 -7.86244e+10 1.26814e+11 
688078 574524 -7.94241e+10 1.26317e+11 
690471 578856 -8.02208e+10 1.25815e+11 
692855 583204 -8.10142e+10 1.25307e+11 
695230 587566 -8.18044e+10 1.24795e+11 
697594 591943 -8.25913e+10 1.24277e+11 
699948 596335 -8.3375e+10 1.23755e+11 
702293 600742 -8.41554e+10 1.23228e+11 
704628 605163 -8.49324e+10 1.22696e+11 
706952 609599 -8.5706e+10 1.22159e+11 
709266 614050 -8.64763e+10 1.21617e+11 
711570 618515 -8.72431e+10 1.2107e+11 
713864 622995 -8.80064e+10 1.20518e+11 
716147 627489 -8.87662e+10 1.19962e+11 
718419 631997 -8.95225e+10 1.19401e+11 
720681 636520 -9.02753e+10 1.18835e+11 
722931 641057 -9.10245e+10 1.18265e+11 
725172 645608 -9.177e+10 1.1769e+11 
727401 650173 -9.25119e+10 1.1711e+11 
729619 654751 -9.32502e+10 1.16525e+11 
731826 659344 -9.39847e+10 1.15936e+11 
734021 663951 -9.47155e+10 1.15342e+11 
736206 668571 -9.54425e+10 1.14744e+11 
738379 673205 -9.61658e+10 1.14141e+11 
740540 677853 -9.68852e+10 1.13533e+11 
742690 682514 -9.76008e+10 1.12921e+11 
744829 687189 -9.83125e+10 1.12305e+11 
746955 691877 -9.90203e+10 1.11684e+11 
749070 696579 -9.97242e+10 1.11059e+11 
751173 701294 -1.00424e+11 1.10429e+11 
753264 706021 -1.0112e+11 1.09795e+11 
755343 710762 -1.01812e+11 1.09156e+11 
757409 715516 -1.025e+11 1.08514e+11 
759464 720283 -1.03184e+11 1.07866e+11 
761506 725063 -1.03863e+11 1.07215e+11 
763536 729856 -1.04539e+11 1.06559e+11 
765553 734661 -1.0521e+11 1.05899e+11 
767558 739479 -1.05878e+11 1.05235e+11 
769550 744309 -1.06541e+11 1.04567e+11 
771530 749152 -1.072e+11 1.03895e+11 
773497 754008 -1.07854e+11 1.03218e+11 
775450 758875 -1.08504e+11 1.02537e+11 
777391 763755 -1.0915e+11 1.01853e+11 
779319 768647 -1.09792e+11 1.01164e+11 
781234 773551 -1.10429e+11 1.00471e+11 
783136 778467 -1.11062e+11 9.97745e+10 
785024 783395 -1.11691e+11 9.90738e+10 
786899 788335 -1.12315e+11 9.83692e+10 
788761 793286 -1.12935e+11 9.76606e+10 
790609 798249 -1.1355e+11 9.69482e+10 
792444 803224 -1.1416e+11 9.6232e+10 
794265 808210 -1.14766e+11 9.55119e+10 
796072 813207 -1.15368e+11 9.4788e+10 
797866 818216 -1.15965e+11 9.40604e+10 
799646 823236 -1.16557e+11 9.3329e+10 
801412 828267 -1.17145e+11 9.2594e+10 
803164 833309 -1.17728e+11 9.18553e+10 
804902 838363 -1.18307e+11 9.11129e+10 
806626 843426 -1.18881e+11 9.03669e+10 
808336 848501 -1.1945e+11 8.96174e+10 
810031 853587 -1.20014e+11 8.88643e+10 
811712 858683 -1.20574e+11 8.81076e+10 
813379 863789 -1.21128e+11 8.73475e+10 
815032 868906 -1.21678e+11 8.65839e+10 
816670 874033 -1.22223e+11 8.58169e+10 
818293 879170 -1.22764e+11 8.50465e+10 
819902 884318 -1.23299e+11 8.42727e+10 
821496 889475 -1.2383e+11 8.34955e+10 
823075 894643 -1.24355e+11 8.27151e+10 
824640 899820 -1.24876e+11 8.19314e+10 
826190 905007 -1.25392e+11 8.11444e+10 
827724 910204 -1.25903e+11 8.03542e+10 
829244 915410 -1.26409e+11 7.95609e+10 
830749 920626 -1.26909e+11 7.87643e+10 
832238 925851 -1.27405e+11 7.79647e+10 
833713 931086 -1.27896e+11 7.7162e+10 
835172 936329 -1.28382e+11 7.63562e+10 
836616 941582 -1.28862e+11 7.55474e+10 
838045 946844 -1.29338e+11 7.47356e+10 
839458 952114 -1.29808e+11 7.39208e+10 
840856 957394 -1.30273e+11 7.31031e+10 
842238 962682 -1.30733e+11 7.22825e+10 
843605 967978 -1.31188e+11 7.14591e+10 
844956 973284 -1.31638e+11 7.06328e+10 
846291 978597 -1.32082e+11 6.98038e+10 
847611 983919 -1.32522e+11 6.89719e+10 
848915 989249 -1.32956e+11 6.81374e+10 
850203 994587 -1.33384e+11 6.73001e+10 
851475 999934 -1.33808e+11 6.64602e+10 
852732 1.00529e+06 -1.34226e+11 6.56176e+10 
853972 1.01065e+06 -1.34639e+11 6.47725e+10 
855197 1.01602e+06 -1.35046e+11 6.39247e+10 
856405 1.0214e+06 -1.35449e+11 6.30745e+10 
857597 1.02678e+06 -1.35845e+11 6.22217e+10 
858773 1.03217e+06 -1.36237e+11 6.13665e+10 
859933 1.03757e+06 -1.36623e+11 6.05089e+10 
861077 1.04298e+06 -1.37004e+11 5.96489e+10 
862204 1.04839e+06 -1.37379e+11 5.87865e+10 
863315 1.05381e+06 -1.37749e+11 5.79218e+10 
864410 1.05924e+06 -1.38113e+11 5.70547e+10 
865488 1.06468e+06 -1.38472e+11 5.61855e+10 
866550 1.07012e+06 -1.38825e+11 5.5314e+10 
867595 1.07556e+06 -1.39173e+11 5.44403e+10 
868624 1.08102e+06 -1.39515e+11 5.35645e+10 
869636 1.08648e+06 -1.39852e+11 5.26865e+10 
870632 1.09195e+06 -1.40184e+11 5.18065e+10 
871610 1.09742e+06 -1.40509e+11 5.09244e+10 
872573 1.1029e+06 -1.4083e+11 5.00403e+10 
873518 1.10838e+06 -1.41144e+11 4.91543e+10 
874447 1.11387e+06 -1.41454e+11 4.82662e+10 
875359 1.11937e+06 -1.41757e+11 4.73763e+10 
876254 1.12487e+06 -1.42055e+11 4.64845e+10 
877132 1.13038e+06 -1.42347e+11 4.55909e+10 
877993 1.13589e+06 -1.42634e+11 4.46954e+10 
878837 1.14141e+06 -1.42915e+11 4.37982e+10 
879665 1.14693e+06 -1.4319e+11 4.28993e+10 
880475 1.15246e+06 -1.4346e+11 4.19987e+10 
881268 1.158e+06 -1.43724e+11 4.10964e+10 
882045 1.16353e+06 -1.43982e+11 4.01925e+10 
882804 1.16908e+06 -1.44235e+11 3.9287e+10 
883546 1.17463e+06 -1.44482e+11 3.83799e+10 
884271 1.18018e+06 -1.44723e+11 3.74713e+10 
884978 1.18573e+06 -1.44959e+11 3.65613e+10 
885669 1.1913e+06 -1.45189e+11 3.56498e+10 
886342 1.19686e+06 -1.45413e+11 3.47369e+10 
886998 1.20243e+06 -1.45631e+11 3.38226e+10 
887637 1.208e+06 -1.45844e+11 3.2907e+10 
888258 1.21358e+06 -1.4605e+11 3.19901e+10 
888862 1.21916e+06 -1.46251e+11 3.10719e+10 
889449 1.22475e+06 -1.46447e+11 3.01525e+10 
890018 1.23034e+06 -1.46636e+11 2.92319e+10 
